id,label,desc,birth_time,birth_precision,birth_placedeath_time,death_precision,death_place
Q23,George Washington,first President of the United States,+1732-02-22T00:00:00Z,11,Q494413,+1799-12-14T00:00:00Z,11,Q494413
Q42,Douglas Adams,English writer and humorist,+1952-03-11T00:00:00Z,11,Q350,+2001-05-11T00:00:00Z,11,Q350
Q1868,Paul Otlet,"Belgian author, librarian and colonial thinker",+1868-08-23T00:00:00Z,11,Q9005,+1944-12-10T00:00:00Z,11,Q9005
Q207,George W. Bush,43rd President of the United States,+1946-07-06T00:00:00Z,11,Q49145,,,Q49145
Q297,Diego Velázquez,Spanish painter (1599-1660),+1599-06-06T00:00:00Z,11,Q8717,+1660-08-06T00:00:00Z,11,Q8717
Q368,Augusto Pinochet,"general, politician and dictator of Chile",+1915-11-25T00:00:00Z,11,Q33986,+2006-12-10T00:00:00Z,11,Q33986
Q501,Charles Baudelaire,French poet,+1821-04-09T00:00:00Z,11,Q90,+1867-08-31T00:00:00Z,11,Q90
Q619,Nicolaus Copernicus,"Renaissance mathematician, Polish astronomer, physician",+1473-02-19T00:00:00Z,11,Q47554,+1543-05-24T00:00:00Z,11,Q47554
Q633,Neil Young,Canadian singer-songwriter,+1945-11-12T00:00:00Z,11,Q172,,,Q172
Q640,Harald Krichel,German photographer; vice chair of Wikimedia Deutschland,+1969-00-00T00:00:00Z,9,Q320095,,,Q320095
Q747,Pierre Corneille,French tragedian,+1606-06-06T00:00:00Z,11,Q30974,+1684-10-01T00:00:00Z,11,Q30974
Q815,Gabriel Gonzáles Videla,Chilean politician,+1898-11-22T00:00:00Z,11,Q14467,+1980-08-22T00:00:00Z,11,Q14467
Q853,Andrei Tarkovsky,"Soviet and Russian film-maker, writer, film editor, film theorist, theatre and opera director",+1932-04-04T00:00:00Z,11,Q15651436,+1986-12-29T00:00:00Z,11,Q15651436
Q859,Plato,Classical Greek philosopher,-0427-05-07T00:00:00Z,11,Q844930,-0347-00-00T00:00:00Z,9,Q844930
Q873,Meryl Streep,American actress,+1949-06-22T00:00:00Z,11,Q1000642,,,Q1000642
Q946,Donald Tusk,"Polish politician, former President of the European Council, former Prime Minister of Poland, President of the European People’s Party",+1957-04-22T00:00:00Z,11,Q1792,,,Q1792
Q997,Andrei Sakharov,Soviet nuclear physicist and human rights activist,+1921-05-21T00:00:00Z,11,Q649,+1989-12-14T00:00:00Z,11,Q649
Q1056,Italo Balbo,Italian Marshal of the Air Force and minister,+1896-06-06T00:00:00Z,11,Q3927110,+1940-06-28T00:00:00Z,11,Q3927110
Q1058,Narendra Modi,Prime Minister of India,+1950-09-17T00:00:00Z,11,Q2570726,,,Q2570726
Q1149,Indira Gandhi,Indian Prime Minister and Politician,+1917-11-19T00:00:00Z,11,Q162442,+1984-10-31T00:00:00Z,11,Q162442
Q1151,Hector Berlioz,French Romantic composer,+1803-12-11T00:00:00Z,11,Q864123,+1869-03-08T00:00:00Z,11,Q864123
Q1228,Oscar Luigi Scalfaro,9th President of Italy,+1918-09-09T00:00:00Z,11,Q6046,+2012-01-29T00:00:00Z,11,Q6046
Q1253,Ban Ki-moon,8th Secretary-General of the United Nations,+1944-06-13T00:00:00Z,11,Q31094,,,Q31094
Q1254,Kofi Annan,7th Secretary-General of the United Nations,+1938-04-08T00:00:00Z,11,Q182059,+2018-08-18T00:00:00Z,11,Q182059
Q1276,Leonard Cohen,Canadian poet and singer-songwriter,+1934-09-21T00:00:00Z,11,Q139497,+2016-11-07T00:00:00Z,11,Q139497
Q1317,Osama bin Laden,Saudi Arabian founder of al-Qaeda,+1957-03-10T00:00:00Z,11,Q3692,+2011-05-02T00:00:00Z,11,Q3692
Q1325,Friedrich Hayek,Austrian and British economist,+1899-05-08T00:00:00Z,11,Q1741,+1992-03-23T00:00:00Z,11,Q1741
Q1330,José Joaquín Prieto,"Militar, Chilean politician and President",+1786-08-20T00:00:00Z,11,Q1880,+1854-11-22T00:00:00Z,11,Q1880
Q1381,Dave Arneson,American game designer,+1947-10-01T00:00:00Z,11,Q486229,+2009-04-07T00:00:00Z,11,Q486229
Q1416,Otho,Seventh Emperor of Ancient Rome,+0032-04-28T00:00:00Z,11,Q597347,+0069-04-16T00:00:00Z,11,Q597347
Q1421,Titus,Emperor of Ancient Rome,+0041-00-00T00:00:00Z,9,Q220,+0081-09-13T00:00:00Z,11,Q220
Q1511,Richard Wagner,German composer and conductor,+1813-05-22T00:00:00Z,11,Q2079,+1883-02-13T00:00:00Z,11,Q2079
Q1526,Ramesses I,the founding Pharaoh of Ancient Egypt's Nineteenth Dynasty,-1300-00-00T00:00:00Z,7,Q309282,-1290-00-00T00:00:00Z,9,Q309282
Q1638,Primo Nebiolo,Italian sports official and IAAF president,+1923-07-14T00:00:00Z,11,Q495,+1999-11-07T00:00:00Z,11,Q495
Q1672,Dejen Gebremeskel,Ethiopian long-distance runner,+1989-11-24T00:00:00Z,11,Q357101,,,Q357101
Q1681,Abel Mutai,Kenyan long-distance runner,+1988-10-02T00:00:00Z,11,Q1964569,,,Q1964569
Q1712,Erick Barrondo,Guatemalan racewalker,+1991-06-14T00:00:00Z,11,Q284529,,,Q284529
Q1738,Robert Grabarz,British high jumper,+1987-10-03T00:00:00Z,11,Q544939,,,Q544939
Q1755,Tomasz Majewski,Polish shot putter,+1981-08-30T00:00:00Z,11,Q1579038,,,Q1579038
Q1789,Ashton Eaton,American decathlete,+1988-01-21T00:00:00Z,11,Q6106,,,Q6106
Q1812,Gordian III,Roman emperor,+0225-01-20T00:00:00Z,11,Q220,+0244-02-11T00:00:00Z,11,Q220
Q1911,Olivier Giroud,French association football player,+1986-09-30T00:00:00Z,11,Q165090,,,Q165090
Q1925,Yann M'Vila,French association football player,+1990-06-29T00:00:00Z,11,Q41604,,,Q41604
Q1934,Sidney Govou,French association football player,+1979-07-27T00:00:00Z,11,Q184359,,,Q184359
Q1936,Djibril Cissé,French association football player,+1981-08-12T00:00:00Z,11,Q48292,,,Q48292
Q1938,Bacary Sagna,French association football player,+1983-02-14T00:00:00Z,11,Q212420,,,Q212420
Q1956,Hermann Maier,Austrian alpine skier,+1972-12-07T00:00:00Z,11,Q255811,,,Q255811
Q2105,Jacques Chirac,French statesman and official,+1932-11-29T00:00:00Z,11,Q90,+2019-09-26T00:00:00Z,11,Q90
Q2185,Georges Pompidou,19th President of the French Republic,+1911-07-05T00:00:00Z,11,Q270347,+1974-04-02T00:00:00Z,11,Q270347
Q2190,Coluche,French comedian and actor,+1944-10-28T00:00:00Z,11,Q187153,+1986-06-19T00:00:00Z,11,Q187153
Q2496,Ludwig Erhard,Chancellor of West Germany (1963–1966),+1897-02-04T00:00:00Z,11,Q3075,+1977-05-05T00:00:00Z,11,Q3075
Q2518,Helmut Kohl,former chancellor of West Germany (1982-1990) and then the united Germany (1990-1998),+1930-04-03T00:00:00Z,11,Q1875414,+2017-06-16T00:00:00Z,11,Q1875414
Q2567,Richard von Weizsäcker,Governing Mayor of West Berlin and President of the Federal Republic of Germany,+1920-04-15T00:00:00Z,11,Q695076,+2015-01-31T00:00:00Z,11,Q695076
Q2610,Willi Stoph,East German politician,+1914-07-09T00:00:00Z,11,Q313189,+1999-04-13T00:00:00Z,11,Q313189
Q2677,Wilhelm II,German Emperor and King of Prussia,+1859-01-27T00:00:00Z,11,Q530930,+1941-06-04T00:00:00Z,11,Q530930
Q3036,Mack Wilberg,American conductor,+1955-01-01T00:00:00Z,9,Q482891,,,Q482891
Q3098,Georg Henrik Lybecker,early 18th century Swedish officer,+1600-00-00T00:00:00Z,8,,+1718-06-04T00:00:00Z,11,
Q3251,Elisha E. Meredith,U.S. Representative,+1848-12-26T00:00:00Z,11,Q501051,+1900-07-29T00:00:00Z,11,Q501051
Q3260,Hubert Clifford,Australian-born British composer and conductor,+1904-01-01T00:00:00Z,9,Q803960,+1959-01-01T00:00:00Z,9,Q803960
Q3319,Yukiko Kobayashi,Japanese actress,+1946-10-06T00:00:00Z,11,Q1189121,,,Q1189121
Q3374,Anne-Sophie Mutter,German violinist,+1963-06-29T00:00:00Z,11,Q16077,,,Q16077
Q3547,Franciszek Karpiński,Polish poet,+1741-10-04T00:00:00Z,11,Q4142175,+1825-09-16T00:00:00Z,11,Q4142175
Q3603,Jack Angel,American voice actor (born 1930),+1930-10-24T00:00:00Z,11,Q204561,,,Q204561
Q3671,Justin Chadwick,English actor and director,+1968-12-06T00:00:00Z,11,Q47952,,,Q47952
Q3794,Laurent Dauthuille,French boxer,+1924-02-20T00:00:00Z,11,Q193880,+1971-07-10T00:00:00Z,11,Q193880
Q3996,V. P. Kalairajan,Indian politician,+1961-06-15T00:00:00Z,11,Q3474256,,,Q3474256
Q4009,Ramesses IX,Egyptian pharaoh of the 20th dynasty,-1150-01-01T00:00:00Z,7,,-1111-01-01T00:00:00Z,10,
Q4128,Louis Aragon,"French poet, novelist and editor",+1897-10-03T00:00:00Z,11,Q90,+1982-12-24T00:00:00Z,11,Q90
Q4153,George Bournoutian,"Iranian-American professor, historian, and author of Armenian descent",+1943-09-25T00:00:00Z,11,Q42053,,,Q42053
Q4261,Michel Platini,"French association football player, manager and executive",+1955-06-21T00:00:00Z,11,Q453411,,,Q453411
Q4267,Adémar de Chabannes,"French monk, a historian, a musical composer and a successful literary forger",+0989-01-01T00:00:00Z,9,Q202545,+1034-01-01T00:00:00Z,9,Q202545
Q4270,Tom DeLonge,American rock musician,+1975-12-13T00:00:00Z,11,Q540727,,,Q540727
Q4291,Ante Bilobrk,national hero of Yugoslavia,+1919-04-03T00:00:00Z,11,,+1943-06-26T00:00:00Z,11,
Q4293,Jon Abrahams,American film and television actor,+1977-10-29T00:00:00Z,11,Q60,,,Q60
Q4318,Theopompus,Greek historian and rhetorician,-0400-01-01T00:00:00Z,7,Q160483,-0320-00-00T00:00:00Z,9,Q160483
Q4328,Alberich of Reims,Archbishop of Bourges,+1085-00-00T00:00:00Z,9,,+1141-00-00T00:00:00Z,9,
Q4441,Emily Dickinson,American poet (1830-1886),+1830-12-10T00:00:00Z,11,Q49164,+1886-05-15T00:00:00Z,11,Q49164
Q4489,Stefanie Heinzmann,Swiss soul and pop singer,+1989-03-10T00:00:00Z,11,Q64147,,,Q64147
Q4491,Anna Faris,"American actress, comedian and singer (*1976)",+1976-11-29T00:00:00Z,11,Q5092,,,Q5092
Q4496,Mitt Romney,United States Senator from Utah,+1947-03-12T00:00:00Z,11,Q12439,,,Q12439
Q4498,Beatritz de Dia,female troubadours,+1175-00-00T00:00:00Z,9,Q234270,+1225-00-00T00:00:00Z,9,Q234270
Q4652,Mary Stewart,Scottish princess,+1453-05-13T00:00:00Z,11,Q756268,+1488-05-00T00:00:00Z,10,Q756268
Q4671,Matthew Kneale,British writer,+1960-11-24T00:00:00Z,11,Q84,,,Q84
Q4700,Claude Debussy,French composer,+1862-08-22T00:00:00Z,11,Q185075,+1918-03-25T00:00:00Z,11,Q185075
Q4723,Charles II de Croÿ,"2nd Duke of Aarschot, 3rd Prince of Chimay and 3rd Count of Beaumont",+1522-07-31T00:00:00Z,11,Q668815,+1551-06-24T00:00:00Z,11,Q668815
Q4740,Júnior César Moreira da Cunha,football striker,+1985-04-05T00:00:00Z,11,Q985611,,,Q985611
Q4761,Ernst Mielck,Finnish composer,+1877-10-24T00:00:00Z,11,Q14657,+1899-10-22T00:00:00Z,11,Q14657
Q4762,Roy Budd,British jazz musician and composer,+1947-03-14T00:00:00Z,11,Q687798,+1993-08-07T00:00:00Z,11,Q687798
Q4769,Anthony Sweijs,Dutch sports shooter (1852-1937),+1852-07-18T00:00:00Z,11,Q727,+1937-09-30T00:00:00Z,11,Q727
Q4835,Rafał Bigus,Polish basketball player,+1976-07-12T00:00:00Z,11,Q106268,,,Q106268
Q4876,Jan de Kreek,Dutch footballer,+1903-10-11T00:00:00Z,11,Q10001,+1988-02-14T00:00:00Z,11,Q10001
Q4896,"William Hamilton, Duke of Hamilton",Duke of Hamilton in the Peerage of Scotland (1634-1694),+1634-12-24T00:00:00Z,11,,+1694-04-18T00:00:00Z,11,
Q4926,Birger Kildal,Norwegian politician,+1849-04-15T00:00:00Z,11,Q585,+1913-12-13T00:00:00Z,11,Q585
Q5071,Emperor Xizong of Jin,emperor of the Jin Dynasty (1115–1234),+1119-02-28T00:00:00Z,11,,+1150-01-09T00:00:00Z,11,
Q5072,Emperor Hailingwang of Jin,emperor of the Jin Dynasty (1115–1234),+1122-02-24T00:00:00Z,11,,+1161-12-15T00:00:00Z,11,
Q5170,Blondel de Nesle,French trouvère,+1155-01-01T00:00:00Z,9,Q12770,+1202-00-00T00:00:00Z,7,Q12770
Q5198,Walter of Châtillon,12th-century French writer and theologian,+1135-01-01T00:00:00Z,9,Q648,+1201-01-01T00:00:00Z,9,Q648
Q5233,François-Édouard Picot,french painter,+1786-10-10T00:00:00Z,11,Q90,+1868-03-15T00:00:00Z,11,Q90
Q5280,Laurent Mourguet,French puppeteer,+1769-03-03T00:00:00Z,11,Q456,+1844-12-30T00:00:00Z,11,Q456
Q5335,Harm Wiersma,"Dutch draughts player and former politician, World champion",+1953-05-13T00:00:00Z,11,Q25390,,,Q25390
Q5345,Boris Sket,Slovene zoologist,+1936-07-30T00:00:00Z,11,Q437,,,Q437
Q5351,William IX,Duke of Aquitaine and Gascony and Count of Poitou,+1071-10-22T00:00:00Z,11,,+1126-02-11T00:00:00Z,11,
Q5362,Narcis Mršić,Slovene biologist,+1951-08-02T00:00:00Z,11,Q4165497,+1997-09-16T00:00:00Z,11,Q4165497
Q5363,Maria de Ventadorn,patron of troubadour poetry,+1180-00-00T00:00:00Z,7,,+1219-00-00T00:00:00Z,9,
Q5380,Robert de Boron,French poet,+1200-01-01T00:00:00Z,7,Q12782,+1300-01-01T00:00:00Z,7,Q12782
Q5383,David Bowie,"British singer, musician, and actor",+1947-01-08T00:00:00Z,11,Q146690,+2016-01-10T00:00:00Z,11,Q146690
Q5454,Isabella Teotochi Albrizzi,Italian author,+1760-06-16T00:00:00Z,11,Q121378,+1836-09-27T00:00:00Z,11,Q121378
Q5558,Bartolomeo Coghetto,Italian painter and musician,+1707-01-01T00:00:00Z,9,Q5475,+1793-01-01T00:00:00Z,9,Q5475
Q5571,Andrea del Sarto,Italian painter (1486-1530),+1486-07-16T00:00:00Z,11,Q2044,+1530-09-29T00:00:00Z,11,Q2044
Q5580,Albrecht Dürer,"German painter, printmaker, mathematician, and theorist",+1471-05-21T00:00:00Z,11,Q2090,+1528-04-06T00:00:00Z,11,Q2090
Q5586,Katsushika Hokusai,Japanese artist,+1760-10-31T00:00:00Z,11,Q3140127,+1849-05-10T00:00:00Z,11,Q3140127
Q5587,Marloes Horst,Dutch model,+1989-03-08T00:00:00Z,11,Q803,,,Q803
Q5594,Antonello da Messina,Italian Renaissance painter (1430-1479),+1430-01-01T00:00:00Z,9,Q13666,+1479-01-01T00:00:00Z,9,Q13666
Q5630,Fulcher of Chartres,chronicler of the First Crusade,+1059-01-01T00:00:00Z,9,Q130272,+1127-01-01T00:00:00Z,9,Q130272
Q5659,Conon de Béthune,"crusader and ""trouvère"" poet, born in 1150 in north of France",+1150-00-00T00:00:00Z,9,Q159987,+1219-00-00T00:00:00Z,9,Q159987
Q5664,Fra Angelico,early Italian Renaissance painter,+1400-01-01T00:00:00Z,9,Q82880,+1455-02-18T00:00:00Z,11,Q82880
Q5670,Abu Nuwas,Iraqi poet,+0762-00-00T00:00:00Z,9,Q170366,+0814-01-01T00:00:00Z,9,Q170366
Q5676,Matsuo Bashō,Japanese poet,+1644-01-01T00:00:00Z,9,Q11614939,+1694-11-28T00:00:00Z,11,Q11614939
Q5721,Philippe Pétain,French military and political leader,+1856-04-24T00:00:00Z,11,Q368688,+1951-07-23T00:00:00Z,11,Q368688
Q5811,Masaccio,Italian painter (1401-1428),+1401-12-21T00:00:00Z,11,Q52097,+1428-01-01T00:00:00Z,9,Q52097
Q5816,Mao Zedong,Chairman of the Central Committee of the Communist Party of China,+1893-12-26T00:00:00Z,11,Q838542,+1976-09-09T00:00:00Z,11,Q838542
Q5820,Mariya Savinova,Russian female 800m Olympic sprinter,+1985-08-13T00:00:00Z,11,Q906,,,Q906
